university_name,city,focal_person,coverage,source
"Government College University, Hyderabad",Hyderabad,"USAID Focal Officer - Government College University, Hyderabad",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Government College University, Lahore",Lahore,"USAID Focal Officer - Government College University, Lahore",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Government Sadiq College Women University,Bahawal Pur,USAID Focal Officer - Government Sadiq College Women University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Hazara University,Mansehra,USAID Focal Officer - Hazara University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Health Services Academy (HSA), Islamabad",Islamabad,"USAID Focal Officer - Health Services Academy (HSA), Islamabad",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Hyderabad Institute for Technology & Management Sciences,Hyderabad,USAID Focal Officer - Hyderabad Institute for Technology & Management Sciences,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Information Technology University of the Punjab,Lahore,USAID Focal Officer - Information Technology University of the Punjab,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Institute of Business Administration,Karachi,USAID Focal Officer - Institute of Business Administration,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Institute of Management Sciences (2),Peshawar,USAID Focal Officer - Institute of Management Sciences (2),Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Institute of Space Technology,Islamabad,USAID Focal Officer - Institute of Space Technology,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
International Islamic University,Islamabad,USAID Focal Officer - International Islamic University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Islamia College Peshawar,Peshawar,USAID Focal Officer - Islamia College Peshawar,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Islamia University Bahawalpur,Bahawal Pur,USAID Focal Officer - Islamia University Bahawalpur,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Jinnah Sindh Medical University,Karachi,USAID Focal Officer - Jinnah Sindh Medical University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Karakurum International University,Gilgit,USAID Focal Officer - Karakurum International University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Khawaja Freed University of Engineering & Information Technology, Rahim Yar Khan",Rahim Yar Khan,"USAID Focal Officer - Khawaja Freed University of Engineering & Information Technology, Rahim Yar Khan",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Khushal Khan Khattak University,Karak,USAID Focal Officer - Khushal Khan Khattak University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Khyber Medical University,Peshawar,USAID Focal Officer - Khyber Medical University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Khyber Pakhtunkhwa Agricultural University,Peshawar,USAID Focal Officer - Khyber Pakhtunkhwa Agricultural University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
King Edward Medical University,Lahore,USAID Focal Officer - King Edward Medical University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Kinnaird College for Women,Lahore,USAID Focal Officer - Kinnaird College for Women,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Kohat University of Science and Technology,Kohat,USAID Focal Officer - Kohat University of Science and Technology,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Kohsar University, Murree",Rawalpindi,"USAID Focal Officer - Kohsar University, Murree",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Lahore College for Women University,Lahore,USAID Focal Officer - Lahore College for Women University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Lasbela University of Agriculture, Water & Marine Sciences",Lasbella,"USAID Focal Officer - Lasbela University of Agriculture, Water & Marine Sciences",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Liaquat University of Medical & Health Sciences,Jamshoro,USAID Focal Officer - Liaquat University of Medical & Health Sciences,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Mehran University of Engineering & Technology,Khairpur,USAID Focal Officer - Mehran University of Engineering & Technology,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Mir Chakar Khan Rind University,Sibi,USAID Focal Officer - Mir Chakar Khan Rind University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Mir Chakar Khan Rind University of Technology,Dera Ghazi Khan,USAID Focal Officer - Mir Chakar Khan Rind University of Technology,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Mirpur University of Science & Technology,Mirpur,USAID Focal Officer - Mirpur University of Science & Technology,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Muhammad Nawaz Shareef University of Agriculture,Multan,USAID Focal Officer - Muhammad Nawaz Shareef University of Agriculture,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Muhammad Nawaz Sharif University of  Engineering & Technology,Multan,USAID Focal Officer - Muhammad Nawaz Sharif University of  Engineering & Technology,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
National College of Arts,Lahore,USAID Focal Officer - National College of Arts,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
National Defense University,Islamabad,USAID Focal Officer - National Defense University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"National Skills University, Islamabad",Islamabad,"USAID Focal Officer - National Skills University, Islamabad",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
National Textile University,Faisalabad,USAID Focal Officer - National Textile University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
National University of Medical Sciences (NUMS),Rawalpindi,USAID Focal Officer - National University of Medical Sciences (NUMS),Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
National University of Modern Languages,Islamabad,USAID Focal Officer - National University of Modern Languages,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
National University of Pakistan,Rawalpindi,USAID Focal Officer - National University of Pakistan,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
National University of Sciences & Technology,Islamabad,USAID Focal Officer - National University of Sciences & Technology,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"National University of Technology (NUTECH), Islamabad",Islamabad,"USAID Focal Officer - National University of Technology (NUTECH), Islamabad",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
NED University of Engineering & Technology,Karachi,USAID Focal Officer - NED University of Engineering & Technology,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
NFC Institute of Engineering & Technology,Multan,USAID Focal Officer - NFC Institute of Engineering & Technology,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Nishtar Medical University, Multan",Multan,"USAID Focal Officer - Nishtar Medical University, Multan",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Pak-Austria Fachhochschule Institute of Applied Sciences and Technology, Haripur",Haripur,"USAID Focal Officer - Pak-Austria Fachhochschule Institute of Applied Sciences and Technology, Haripur",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Pakistan Institute of Development Economics (PIDE),Islamabad,USAID Focal Officer - Pakistan Institute of Development Economics (PIDE),Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Pakistan Institute of Engineering & Applied Sciences,Islamabad,USAID Focal Officer - Pakistan Institute of Engineering & Applied Sciences,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Pakistan Institute of Fashion & Design,Lahore,USAID Focal Officer - Pakistan Institute of Fashion & Design,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Pakistan Military Academy,Abbottabad,USAID Focal Officer - Pakistan Military Academy,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Pakistan Naval Academy,Karachi,USAID Focal Officer - Pakistan Naval Academy,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Peoples University of Medical & Health Sciences for Women,Nawabshah,USAID Focal Officer - Peoples University of Medical & Health Sciences for Women,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Pir Mehr Ali Shah Arid Agriculture University,Rawalpindi,USAID Focal Officer - Pir Mehr Ali Shah Arid Agriculture University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Punjab Tianjin University of Technology, Lahore",Lahore,"USAID Focal Officer - Punjab Tianjin University of Technology, Lahore",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Punjab University of Technology, Rasul-Mandi Bahauddin",Mandi Bahauddin,"USAID Focal Officer - Punjab University of Technology, Rasul-Mandi Bahauddin",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Quaid-e-Awam University of Engineering, Sciences & Technology",Nawabshah,"USAID Focal Officer - Quaid-e-Awam University of Engineering, Sciences & Technology",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Quaid-i-Azam University,Islamabad,USAID Focal Officer - Quaid-i-Azam University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Rawalpindi Medical University,Rawalpindi,USAID Focal Officer - Rawalpindi Medical University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Rawalpindi Women University, Rawalpindi",Rawalpindi,"USAID Focal Officer - Rawalpindi Women University, Rawalpindi",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Sardar Bahadur Khan Women University,Quetta,USAID Focal Officer - Sardar Bahadur Khan Women University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Shah Abdul Latif University,Khairpur,USAID Focal Officer - Shah Abdul Latif University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Shaheed Allah Buksh Soomro University of Arts, Design and Heritages, Jamshoro",Jamshoro,"USAID Focal Officer - Shaheed Allah Buksh Soomro University of Arts, Design and Heritages, Jamshoro",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Shaheed Benazir Bhutto University,Upper Dir,USAID Focal Officer - Shaheed Benazir Bhutto University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Shaheed Benazir Bhutto University of Veterinary & Animal Sciences,Nawabshah,USAID Focal Officer - Shaheed Benazir Bhutto University of Veterinary & Animal Sciences,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Shaheed Benazir Bhutto University, Shaheed Benazirabad",Nawabshah,"USAID Focal Officer - Shaheed Benazir Bhutto University, Shaheed Benazirabad",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Shaheed Benazir Bhutto Women University,Peshawar,USAID Focal Officer - Shaheed Benazir Bhutto Women University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Shaheed Mohtarma Benazir Bhutto Medical University,Larkana,USAID Focal Officer - Shaheed Mohtarma Benazir Bhutto Medical University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Shaheed Zulfiqar Ali Bhutto Medical University,Islamabad,USAID Focal Officer - Shaheed Zulfiqar Ali Bhutto Medical University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Shaheed Zulfiqar Ali Bhutto University of Law,Karachi,USAID Focal Officer - Shaheed Zulfiqar Ali Bhutto University of Law,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Shuhada-e-Army Public School University of Technology, Nowshera",Nowshehra,"USAID Focal Officer - Shuhada-e-Army Public School University of Technology, Nowshera",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Sindh Agriculture University, Tandojam",Hyderabad,"USAID Focal Officer - Sindh Agriculture University, Tandojam",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Sindh Madresatul Islam University,Karachi,USAID Focal Officer - Sindh Madresatul Islam University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Sukkur Institute of Business Administration,Sukkur,USAID Focal Officer - Sukkur Institute of Business Administration,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Thal University, Bhakkar",Bhakkar,"USAID Focal Officer - Thal University, Bhakkar",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
The Azad Jammu & Kashmir University of Bhimber,Bhimber,USAID Focal Officer - The Azad Jammu & Kashmir University of Bhimber,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"The Bolan University of Medical and Health Sciences, Quetta",Quetta,"USAID Focal Officer - The Bolan University of Medical and Health Sciences, Quetta",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"The Shaikh Ayaz University, Shikarpur Sindh",Shikarpur,"USAID Focal Officer - The Shaikh Ayaz University, Shikarpur Sindh",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"The Sindh Institute of Physical Medicine and Rehabilitation, Karachi",Karachi,"USAID Focal Officer - The Sindh Institute of Physical Medicine and Rehabilitation, Karachi",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
The University of Agriculture,Dera Ismail Khan,USAID Focal Officer - The University of Agriculture,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"The University of Agriculture, Swat",Swat,"USAID Focal Officer - The University of Agriculture, Swat",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
The Women University,Multan,USAID Focal Officer - The Women University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Agriculture,Faisalabad,USAID Focal Officer - University of Agriculture,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Azad Jammu & Kashmir,Muzaffarabad,USAID Focal Officer - University of Azad Jammu & Kashmir,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Balochistan,Quetta,USAID Focal Officer - University of Balochistan,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"University of Baltistan, Skardu",Skardu,"USAID Focal Officer - University of Baltistan, Skardu",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Buner,Bunair,USAID Focal Officer - University of Buner,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"University of Chakwal, Chakwal",Chakwal,"USAID Focal Officer - University of Chakwal, Chakwal",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"University of Child Health Sciences, Lahore",Lahore,"USAID Focal Officer - University of Child Health Sciences, Lahore",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Chitral,Chitral,USAID Focal Officer - University of Chitral,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Education,Lahore,USAID Focal Officer - University of Education,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"University of Engineering & Applied Sciences, Swat",Swat,"USAID Focal Officer - University of Engineering & Applied Sciences, Swat",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Engineering & Technology,Peshawar,USAID Focal Officer - University of Engineering & Technology,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Engineering & Technology (2),Lahore,USAID Focal Officer - University of Engineering & Technology (2),Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"University of Engineering & Technology (UET), Mardan",Mardan,"USAID Focal Officer - University of Engineering & Technology (UET), Mardan",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"University of Engineering & Technology, Taxila",Rawalpindi,"USAID Focal Officer - University of Engineering & Technology, Taxila",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of FATA,Kohat,USAID Focal Officer - University of FATA,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Gujrat,Gujrat,USAID Focal Officer - University of Gujrat,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Gwadar,Gawadar,USAID Focal Officer - University of Gwadar,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Haripur,Haripur,USAID Focal Officer - University of Haripur,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Health Sciences,Lahore,USAID Focal Officer - University of Health Sciences,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"University of Home Economics, Lahore",Lahore,"USAID Focal Officer - University of Home Economics, Lahore",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Jhang,Jhang,USAID Focal Officer - University of Jhang,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Karachi,Karachi,USAID Focal Officer - University of Karachi,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Kotli,Kotli,USAID Focal Officer - University of Kotli,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Lakki Marwat,Lakki Marwat,USAID Focal Officer - University of Lakki Marwat,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Layyah,Layyah,USAID Focal Officer - University of Layyah,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Loralai,Loralai,USAID Focal Officer - University of Loralai,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"University of Makran, Panjgur",Punjgur,"USAID Focal Officer - University of Makran, Panjgur",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Malakand,Malakand,USAID Focal Officer - University of Malakand,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Mianwali,Mianwali,USAID Focal Officer - University of Mianwali,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Narowal,Narowal,USAID Focal Officer - University of Narowal,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Okara,Okara,USAID Focal Officer - University of Okara,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Peshawar,Peshawar,USAID Focal Officer - University of Peshawar,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Poonch,Poonch,USAID Focal Officer - University of Poonch,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Sahiwal,Sahiwal,USAID Focal Officer - University of Sahiwal,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Sargodha,Sargodha,USAID Focal Officer - University of Sargodha,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Science & Technology,Bannu,USAID Focal Officer - University of Science & Technology,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Sindh,Mirpur Khas,USAID Focal Officer - University of Sindh,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"University of Sufism and Modern Sciences, Bhitshah Sindh",Bhit Shah,"USAID Focal Officer - University of Sufism and Modern Sciences, Bhitshah Sindh",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Swabi,Swabi,USAID Focal Officer - University of Swabi,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Swat,Swat,USAID Focal Officer - University of Swat,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of the Punjab,Lahore,USAID Focal Officer - University of the Punjab,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Turbat,Turbat,USAID Focal Officer - University of Turbat,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
University of Veterinary & Animal Sciences,Lahore,USAID Focal Officer - University of Veterinary & Animal Sciences,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Virtual University of Pakistan,Lahore,USAID Focal Officer - Virtual University of Pakistan,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Women University Mardan,Mardan,USAID Focal Officer - Women University Mardan,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Women University of Azad Jammu & Kashmir,Bagh,USAID Focal Officer - Women University of Azad Jammu & Kashmir,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Women University, Swabi",Swabi,"USAID Focal Officer - Women University, Swabi",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
