university_name,city,type,scholarship_name,coverage,contact
Allama Iqbal Open University,Islamabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,Address : Allama Iqbal Open University Sector H-8 Islamabad E-mail : support@aiou.edu.pk Call : +92-51-111-112-468
"Aror University of Art, Architecture, Design and Heritage, Sukkur",Sukkur,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"RCW Rohri Bypass, Sukkur, Sindh-Pakistan Tel # 0092-71-9311300 Email: info@aroruniversitysindh.edu.pk"
"Baba Guru Nanak University, Nankana Sahib",Nankana Sahib,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Adampura, Nankana Sahib, Punjab, Pakistan 39100 Tel # +92-56-3549566 Email: info@bgnu.edu.pk"
Bacha Khan University,Charsada,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Palosa, Charsadda. +92-91-6540062"
"Bahauddin Zakariya University (BZU), Multan",Multan,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Bosan Road, Multan +92-61-9210069"
Bahria University,Islamabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Shangrilla Road, Sector E-8 Islamabad +92-51-111-111-028"
Balochistan University of Engineering & Technology,Khuzdar,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Balochistan University of Engg & Technology (BUET), Khuzdar. +92-848-412834, +92-848-5021000"
"Balochistan University of Information Technology, Engineering & Management Sciences (BUITEMS)",Quetta,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Airport Road, Baleli, Quetta +92-81-2881042081, +92-81-9202463, +92-81-9201051"
Baqai Medical University,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"51, Deh Tor, Toll Plaza, Super Highway, Gadap Road, Karachi +92-21-34410-311, +92-21-34410-293-298, +92-21-34410427-28"
Beaconhouse National University,Lahore,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"13 KM Raiwaind Road, Near Jati Umrah Road, Lahore 54400. +92-42-38100156"
"Begum Nustrat Bhutto Women University, Sukkur",Sukkur,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"National Highway, Rohri Bypass, Sukkur Tel # +92-71-9311200 Fax # +92-71-9311201"
Benazir Bhutto Shaheed University Lyari,Karachi,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Fakir Muhammad Dura Khan Road, Near “Kashti Chowk” Lyari, Karachi, Postal Code: 75660. +92-21-32744020, +92-21-32744021, +92-21-32742581"
"Benazir Bhutto Shaheed University of Technology & Skill Development, Khairpur Mirs",Khairpur,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,Station Road Near Mil Colony Khairpur MiRS Khairpur Khairpur Mirs
Brains Institute Peshawar,Peshawar,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Phase III Chowk, Jamrud Road, Peshawar Tel: +92-91-5611637, 0336-5700036 Email: info@brains.edu.pk"
Capital University of Science & Technology,Islamabad,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Capital University of Science & Technology Islamabad Expressway,  Kahuta Road, Zone-V  Islamabad. +92-51-2512800-1, +92-51-4486700-4, +92-51-111-555-666"
CECOS University of Information Technology & Emerging Sciences,Peshawar,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"CECOS University, Phase 6, Sector F-5, Hayatabad, Peshawar. +92-91-5864291"
"Cholistan University of Veterinary and Animal Sciences, Bahawalpur",Bahawal Pur,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Cholistan University of Veterinary & Animal Sciences, Near DHA, Bahawalpur, Punjab-Pakistan Tel: +92-062- 9255716 Email: registrar@cuvas.edu.pk"
City University of Science and Information Technology,Peshawar,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Dalazak Road, Peshawar. +92-91-2609501-8"
Commecs Institute of Business & Emerging Sciences,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Plot No. 40-B, Block-6, PECHS, Karachi. +92-21-34634104, +92-21-34320077 +92-21-34320074-76, +92-21-34615357-59"
"COMSATS University, Islamabad",Islamabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Park Road, Tarlai Kalan, Islamabad 45550, Pakistan +92-51-9247000-9247002  +92-51-111-001-007"
Dadabhoy Institute of Higher Education,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"SNPA-17/B, Block 3, P.E.C.H.Society,Shaheed-e-Millat Road, Karachi. +92-21-34389108, +92-21-111-020-304."
"Dar-ul-Madina International University, Islamabad",Islamabad,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"G 11 Markaz, Shabbir Sharif Road,  Islamabad. UAN Number: (051) 111 252 692, (051) 8745786 Email: ps.vc@darulmadinah.net"
Dawood University of Engineering & Technology,Karachi,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"M.A. Jinnah Road, Karachi 74800. +92-21-99230701, +92-21-99231195 - 98"
DHA Suffa University,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"DG-78, Off Khayaban-e-Tufail, Ph-VII (Ext),DHA, Karachi-75500. +92-21-35244875"
DOW University of Health Sciences,Karachi,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Baba-E-Urdu Road, Karachi 74200. +92-21-99215754-7 +92-21-32715441-466"
"Emaan Institute of Management & Sciences, Karachi",Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Plot No.A-2, Sector 28, Suparco Road, Gulzar E Hijri Scheme 33, Karachi-Pakistan Tel # 0092-21-34999200-2 Emal: info@emaan.edu.pk; hr@emaan.edu.pk"
"Emerson University, Multan",Multan,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Bosan Road, Near Gol Bagh, Multan-Pakistan Tel # 0092 - 61 - 9210037 Email:  info@eum.edu.pk"
"Faisalabad Medical University, Faisalabad",Faisalabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Sargodha Road, Faisalabad-Punjab Pakistan Tel # +92 41 9210080 Email: vcfmuf@gmail.com"
"Fatima Jinnah Medical University, Lahore",Lahore,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Prof. Khalid Masud Gondal Vice Chancellor Shara-I-Fatima Jinnah ,Queens Road Lahore  Telephone# 99200572-8, 99203718 111-222-572"
Fatima Jinnah Women University,Rawalpindi,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"The Mall, Old Presidency, Rawalpindi +92-51-9292901, +92-51-9292902, +92-51-9292 900"
"Federal Urdu University of Arts, Sciences & Technology",Islamabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Sector G-7/1, Near Zero Point,Islamabad. +92-51-9252860-64"
Forman Christian College,Lahore,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Ferozpur Road, Lahore +92-42-99230782, +92-42-99231581-88"
Foundation University,Islamabad,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Defence Avenue, Phase-I, DHA,Islamabad +92-51-5788171, +92-51-5788250"
Gambat Institute of Medical Sciences,Khairpur,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Gambat Institute of Medical Sciences, Gambat Station Road, Pakistan. +92-243-640160"
Gandhara University,Peshawar,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Canal Road University Town, Peshawar. +92-91-5844429-32"
Ghazi University,Dera Ghazi Khan,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Ghazi University, Dera Ghazi Khan Tel # +92 (64) 9260135 Email: info@gudgk.edu.pk"
"Global Institute, Lahore",Lahore,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"3-Aurangzeb Block, New Garden Town, Lahore. +92-42-35857924-6"
Gomal University,Dera Ismail Khan,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Multan Road, D. I Khan +92-966-750266, +92-966-750279 +92-966-966-750-424-9"
"Government College for Women University, Faisalabad",Faisalabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Government College for Women University, Faisalabad. +92-41-9220053, +92-41-9220297"
"Government College for Women University, Sialkot",Sialkot,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Kutchehry Road Sialkot - 51310 Punjab, Pakistan. +92-52-925 0170, +92-52-925 0556"
"Government College University, Faisalabad",Faisalabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Kotwali Rd, Faisalabad 38000, Pakistan. +92-41-9200670, +92-41-9201266, +92-41-9200670"
"Government College University, Hyderabad",Hyderabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Opposite Pinyari Police Station, Kali Mori, Hyderabad Sindh, Pakistan Tel # +92-22-2111877 Email: info@gcuh.edu.pk"
"Government College University, Lahore",Lahore,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Near Nasir Bagh, Katchery Rd, Lahore 54000, Pakistan. +92-42-111 000 010"
Government Sadiq College Women University,Bahawal Pur,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Government Sadiq College Women University, Bahawalpur. +92-62-2284803, +92-62 9250075"
Greenwich University,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"DK-10, 38th Street, Darkshan, DHA, Phase 6, Karachi 75500. +92-21-35840397-98, +92-21-35847663, +92-21-35847664 +92-21-35842270, UAN:(92)(21) 111 202 303"
Habib University,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Habib University Foundation147, Block 7 & 8 Banglore Cooperative Housing SocietyTipu Sultan Road Karachi – 75350. +92-21-111-042 242"
Hajvery University,Lahore,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"43-52 Industrial Area Gulberg III, Lahore. +92-42-35717130-1, +92-42-111 777 007"
Hamdard University,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Madinat-al-Hikmah, Sharea Madinat al-Hikmah, Muhammad Bin Qasim Avenue, Karachi 74600. +92-21-36440030021, +92-21-36440017 +92-21-36440030"
"Hands Institute of Development Studies, Karachi",Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Plot No. 158, Off M9 (Karachi-Hyderabad) Motorway, Gaddap Road, Near Baqai University, Karachi-Pakistan Tel # registrar@hands-ida.edu.pk Email: 021-38102402"
Hazara University,Mansehra,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Dhodial, Mansehra +92-997-530732, +92-997-414121"
"Health Services Academy (HSA), Islamabad",Islamabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Opposite National Institute of Health (NIH), Islamabad Tel # +92-51-9255590-94, Fax # +92-51-9255591 Email: academy@hsa.edu.pk"
HITEC University,Rawalpindi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Museum Road Taxila Cantt. +92-51-4908142, +92-51-3010514, +92-51-908146-50"
Hyderabad Institute for Technology & Management Sciences,Hyderabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,Tell # 92-22-3823752 Email: rectorhitmshyd@gmail.com
"Ibadat International University, Islamabad",Islamabad,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"6.7 Km, Japan Road, Sihala Islamabad-Pakistan Tel # 0092-51-4486422-25 UAN # 0092-51-111-448-448, Email: info@iiui.edu.pk"
ILMA University,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Main Ibrahim Hydri Road, Korangi Creek, Karachi. +92-21-35120462, +92-21-35091872, +92-21-35120461"
Imperial College of Business Studies,Lahore,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Canal Bank Road Near Bahria Chowk, Lahore 53720. +92-42-35978525-32"
Indus University,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"ST-2D, Block-17, Adjacent National Stadium Gulshan-e Iqbal, Opp: Mushriq Centre, Karachi. +92-21-34977457, +92-21- 34801430-35 +92-21-34811723, +92-21-34977457"
Indus Valley School of Art & Architecture,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Street 33, Block 2, Scheme-5, Clifton, Karachi.75600 +92-21-111-111-487 Ext: 201,+92-21-35861055 +92-21-35861039-40"
Information Technology University of the Punjab,Lahore,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"6th Floor, Arfa Software Technology Park, Ferozepur Road, Lahore. +92-42-99232124, +9242-99232538, +92-42-99231170  +92-42-99231171"
Institute for Art and Culture,Lahore,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Mian Riwand Road, Lahore Pakistan Tel: +92 42 32590040-7 Email: info@iac.edu.pk"
Institute of Business Administration,Karachi,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Main Campus University Road, Karachi. +92-21-38104700-1"
Institute of Business Managementhttp://www.iobm.edu.pk,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Korangi Creek, Karachi-75190, Pakistan. +92-21-35091684, +92-21-350 91907"
Institute of Management Sciences,Lahore,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"23-E-III, Gulberg-III, Lahore. +92-42-35751115-8, +92-42-35758664"
Institute of Management Sciences (2),Peshawar,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"I-A, Sector E-5, Phase-VII, Hayatabad, Peshawar. +92-91-9219542"
Institute of Southern Punjab,Multan,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"City Campus: 31-A Gulgasht, Multan. +92-61-111-477-78600, +92-61-621-11-11"
Institute of Space Technology,Islamabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"+92-51-9075100, +92-51-9273310"
International Islamic University,Islamabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"New Campus, Sector H-10, Islamabad +92-51-9257988, +92-51-9019616"
Iqra National University,Peshawar,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Phase-II, Hayatabad Peshawar +92-91-5822 852091 +92-91-5822982 (Direct)"
Iqra University,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Defence View, Shaheed-e-Millat Road, (Ext), Karachi. +92-21-35310802, +92-21-35310818"
Islamia College Peshawar,Peshawar,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Jamrod Road, University Campus,Peshawar. +92-91-9216009"
Islamia University Bahawalpur,Bahawal Pur,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Abbasia Campus, Bahawalpur. +92-62-9250231"
Isra University,Hyderabad,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Halla Road, P.O. Box No.313, Hyderabad. +92-22-2030188022, +92-22-3203 0181-4 Islamabad Campus:School of Engineering & AppliedSciences Plot No. 176, Sohni Road, I-10/3,Islamabad, Pakistan. +92-51-8439901-10 +92-51-8358360-61"
Jinnah Sindh Medical University,Karachi,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Rafique H.J Shaheed Road, Karachi. +92-21-99204776, +92-21- 35223812-16"
Jinnah University for Women,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Jinnah University for Women, 5-C, Nazimabad, Karachi 74600. +92-21-36611245, +92-21-36619902"
Karachi Institute of Economics & Technology,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"PAF Base, Korangi Creek, Karachi-75190. +92-21-35091114-7"
"Karachi Institute of Technology and Entrepreneurship (KITE), Karachi",Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Plot 3 & 3-A, Sector 47, Korangi Creek Road Karachi-75190, Pakistan Tel # 92-21-35092200, +92-21-35092201 Email: info@kite.edu.pk"
Karachi School of Business and Leadership,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"National Stadium Road Opp. Liaquat National Hospital, Karachi – 74800. +92-21- 34855382  +92-21-721021, +92-21-38771999"
Karakurum International University,Gilgit,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"University Road Gilgit, Gilgit Baltistan. +92-5811-960440"
KASB Institute of Technology,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"84-B, SMCHS Karachi-74400. +92-21-343 14970-3"
"Khawaja Freed University of Engineering & Information Technology, Rahim Yar Khan",Rahim Yar Khan,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Abu Dhabi Road, Rahim Yar Khan. Tel # +92-68-9239121, +92-68-9239122"
Khushal Khan Khattak University,Karak,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Opposite Tableghi markaz, Karak. +92-927-291018"
Khyber Medical University,Peshawar,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,PDA building Block-4 Phase-5 Hayatabad Peshawar +92-91- 9217695
Khyber Pakhtunkhwa Agricultural University,Peshawar,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"University Campus, Peshawar +92-91-9216518091, +92--9216572-9"
King Edward Medical University,Lahore,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Nelagumbad near New Anarkali, Lahore. +92-42-99211151, +92-42-37354005"
Kinnaird College for Women,Lahore,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"93-Jail Road, Lahore. +92-42-99203781-4"
Kohat University of Science and Technology,Kohat,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Bannu Rd, Kohat 26000, Khyber Pakhtunkhwa. +92-922-554578, +92-922-52914776"
"Kohsar University, Murree",Rawalpindi,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Near Kashmir Point, Murree, Rawalpindi, Punjab Pakistan Tel # +92-51- 9269170"
Lahore College for Women University,Lahore,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Jail Road, Lahore. +92-42-99203088"
Lahore Garrison University,Lahore,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Main CampusSector C, DHA Phase-VI, Lahore. +92-42-37181821-22"
"Lahore Institute of Science & Technology, Lahore",Lahore,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"7-Madina Park, Bedian Road, Lahore Cantt Punjab-Pakistan. Tel # +92-383-546-00,1 +92-3-111-444-547 Email: academics.head@list.edu.pk"
Lahore Leads University,Lahore,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"5-Tipu Block, New Garden Town, Lahore. +92-42-35846330, +92-4235843208, +92-42 111 002 005"
Lahore School of Economics,Lahore,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Intersection Main Boulevard Phase VI DHA, Burki 53200, Lahore. +92-42-36560938"
"Lahore University of Biological and Applied Sciences,Lahore",Lahore,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Canal Road, North Tulsapur,  Lahore. Tel # 0092346 4418891"
Lahore University of Management Sciences,Lahore,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"D.H.A, Lahore Cantt. 54792 Lahore, Pakistan. +92-42-35608000"
"Lasbela University of Agriculture, Water & Marine Sciences",Lasbella,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Lasbela University of Agriculture, Water and Marine Sciences, Uthal, District Lasbela +92-853-610847"
Liaquat University of Medical & Health Sciences,Jamshoro,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Indus Highway, Jamshoro. +92-22-9213305, +92-22-9213307"
"Malir University of Science & Technology, Karachi",Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Koohi Goth, Deh Landhi, Bin Qasim Town,  National Highway, Karachi,  Sindh-Pakistan Tel # 0092-21- 35002417 Email: admissions@maliruniversity.edu.pk"
Mehran University of Engineering & Technology,Khairpur,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Indus Highway, Jamshoro 76062, Pakistan. +92-22-2771197"
Metropolitan University Karachi,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Sector 34-A, KDA Schem 33, Main University Road, Malir Cantt, Karachi. Tel # +92-21-34151399"
"Millennium Institute of Technology and Entrepreneurship, Karachi",Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Plot # 10, Sector 47, Korangi Creek Road, Korangi Creek, Karachi-Pakistan Tel # 0092-21-35090042  Email: registrar@mite.edu.pk; info@mite.edu.pk"
Minhaj University,Lahore,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Near Hamdard Chowk, Township, Lahore. +92-42-351206800, +92-42-35145621-4 +92-42-351206322"
Mir Chakar Khan Rind University,Sibi,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Mir Chakar Khan Rind University Luni Road, Sibi Balochistan Tel #  0833-500903 Email:  registrar@mckru.edu.pk"
Mir Chakar Khan Rind University of Technology,Dera Ghazi Khan,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"12-km, Sakhi Sarwar Road, Dera Ghazi Khan Punjab- Pakistan Tel # + 92 335 091 1214 Email:  registrar@mcut.edu.pk"
Mirpur University of Science & Technology,Mirpur,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Mirpur University of Science and Technology (MUST), Admin Block, Allama Iqbal Road, Sector B-3, Mirpur. +92-5827-961034"
Muhammad Ali Jinnah University,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"22-E, Block-6, PECHS, Karachi 75400 +92-21-111-87-87-87, +92-21-34311325-6, +92-21-34543321-25"
Muhammad Nawaz Shareef University of Agriculture,Multan,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Old Shujabad Road, Multan. Tel # +92-61-9201680, 9201711 Email: registrar@mnsuam.edu.pk"
Muhammad Nawaz Sharif University of  Engineering & Technology,Multan,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"GCT, Old Bahwalpur Road, Multan. +92-61-4482453"
"Multan University of Science and Technology, Multan",Multan,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"0.5 Km from Nag Shah Chowk,  Main Muzaffargarah Road, Multan-Punjab Tel # +92304-1111952 Email: multanust@gmail.com"
"MY University, Islamabad",Islamabad,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"MY University, Japan Road, Islamabad.  +92-51-2355222"
National College of Arts,Lahore,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"4-Shahrah-e-Quaid-I-Azam, Lahore. +92-42-99211622"
National College of Business Administration & Economics,Lahore,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"40-E/1, Gulberg III, Lahore. +92-42-35752716 +92-42-35878583, +92-42-35752716-9"
National Defense University,Islamabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Sector E-9, Islamabad"
"National Skills University, Islamabad",Islamabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"National Skills University, Faiz Ahmed Faiz Road, H-8/1, Islamabad Tel # +92-051-9250908 Public Relations Office: pro@nsu.edu.pk"
National Textile University,Faisalabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Sheikhupura Road, Faisalabad. +92-41-9230099"
"National University of Computer & Emerging Sciences, Islamabad",Islamabad,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"A.K Brohi Road Sector H-11/4, Islamabad. +92-51-111 128 128, +92-51-8314100 - 03"
National University of Medical Sciences (NUMS),Rawalpindi,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"National University of Medical Sciences , The Mall Rawalpindi, Paksitan. Tel # +92-51-9270677 Email: info@numspak.edu.pk"
National University of Modern Languages,Islamabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"National University of Modern Languages H-9 Islamabad ,Pakistan. +92-51-111-11-6878, +92-51-90856878"
National University of Pakistan,Rawalpindi,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"FGEIs (Cantt/Garrison) Directorate Secretariat, Sir Syed Road, Rawalpindi Cantt. Tel # 051-5910020"
National University of Sciences & Technology,Islamabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"National University of Sciences and Technology. NUST Campus, H-12, Islamabad, Pakistan. +92-51-111-11-6878"
"National University of Technology (NUTECH), Islamabad",Islamabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"National University of Technology (NUTECH), IJP Road, Sector I-12, Islamabad. Tel: 9251-5476768"
Nazeer Hussain University,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,ST-2 Block-4 Federal B Area Karachi. +92-21- 3636 2046-54
NED University of Engineering & Technology,Karachi,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"University Road, Karachi. +92-21-99261253, +92-21-99261 262-68/2242"
Newport Institute of Communications & Economics,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"40-L, PECHS Block-6, Karachi +92-21-34547417, +92-21-34313070, +92-21-34541067 +92-21-34541074. +92-21-34381842"
NFC Institute of Engineering & Technology,Multan,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Opposite Pak Arab Fertilizers, Khanewal Road, Multan, Punjab-Pakistan Tel # +92-61-9220044, +92-61-9220012"
